"ID","Year","StateID","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"0030022010",2010,3,36.5,36.5,50.5,63.4,71.3,81.6,82,83.9,74.8,62.7,52,38.9
"0030022011",2011,3,37.6,43.9,52.5,63.5,67.3,81.7,84.7,83.1,70.2,60.6,53.4,43.3
"0030022012",2012,3,44.6,47.2,62.2,64.4,73.2,78,84.1,80.2,73.5,59.3,50.2,46.4
"0030022013",2013,3,42.1,43.3,46.6,58.5,67.2,77.1,78,78.4,75.4,61.5,47.5,40.1
"0030022014",2014,3,35.2,38.8,46.5,59.6,68.1,76.7,75.4,78.7,72.6,63.7,44.9,43.8
"0030022015",2015,3,38.6,36.1,49.7,62.5,69.3,78.1,81.9,78.1,74.8,63.5,54.2,50
"0030022016",2016,3,39.5,46.9,55.5,62.5,67.2,78.9,82,80,75.8,67,55.7,42.5
"0030022017",2017,3,45.2,52.5,55.7,64.2,67.7,75.5,80.6,76.9,73.2,62.9,53.7,42.4
"0030022018",2018,3,35.7,45.9,53.9,55.2,75,80.1,81.8,78.8,75,62.6,45.8,44.2
"0030022019",2019,3,40.8,46,48.9,60.8,70.6,75.6,79,80.3,79.7,60.8,46.4,45.7
"0040021998",1998,4,45.1,43.6,49.2,51.6,54.9,65.2,76,77.2,69.2,57.7,48.8,42
"0040021999",1999,4,45,44.9,47.5,51.3,60.4,67.8,73.3,72.6,70.7,63.7,53,45.3
"0040022000",2000,4,45.8,47.2,50.2,57.8,63.9,72.2,73.5,75,69.1,58.4,46,46.5
"0040022001",2001,4,42.3,43.1,52.6,52,68.6,71.4,74.2,76,71.3,63.6,51.6,42.8
"0040022002",2002,4,42.4,48.2,48.5,56,61.5,71.2,77.4,74.4,70.9,59.4,52.3,44
"0040022003",2003,4,50,45.7,51.4,50,62,71.2,78.7,75,72.9,65.4,46.8,44
"0040022004",2004,4,43.5,44.2,56.9,57.3,63.2,70.4,76.1,74.8,69.4,58.2,47.7,44.6
"0040022005",2005,4,44.1,47.1,51.1,53,62.2,66.2,78.4,75.8,66.9,59.9,52.4,46.1
"0040022006",2006,4,44.6,47.7,44,53,64.6,73.2,79.3,73.8,69.5,58.8,51.3,43.9
"0040022007",2007,4,41.5,46.7,54.4,56.3,64.1,70.5,76.9,76.1,67.5,58.6,53.3,41.2
"0040022008",2008,4,41.1,45.8,50.3,54.4,61.7,71.1,76.5,76.6,71.8,61.8,53.9,42
"0040022009",2009,4,46.9,45.2,49.2,54.3,66.7,67.5,77.6,74.8,73,58.1,50.9,41.8
"0040022010",2010,4,45.2,46.8,49,50.9,56.9,69.1,76.1,73.4,70.4,60.5,48.6,45.8
"0040022011",2011,4,45.2,43.4,48.7,53.4,57.6,66.9,74.2,75.2,72.2,61.4,48.2,42.8
"0040022012",2012,4,46.5,46.5,48.8,55.8,63.9,69.3,74.7,77.8,73.1,62.2,52.5,43
"0040022013",2013,4,42.1,45.3,53.8,58.2,63.8,72.4,78,74.4,69.3,58.5,51.9,44.1
"0040022014",2014,4,50.1,49.8,53.5,57.7,64.6,71.9,78.4,74.9,72.2,64.4,53.1,46.8
"0040022015",2015,4,48.6,53.2,56.9,56.7,60.8,74.4,75,76.5,72.1,65,47.6,42.3
"0040022016",2016,4,44.5,51.8,52.5,57.9,62.2,73.5,76.8,76.2,69.5,60.5,52.8,43.4
"0040022017",2017,4,42.2,47.3,53.4,55.6,63.4,72.8,78.8,77.9,69.8,62,53.4,47.5
"0040022018",2018,4,48.9,46.6,49,57.2,63,71.4,79.6,76.4,71.1,60.9,52.6,44.8
"0040022019",2019,4,46.1,40.6,48.9,58.2,58.6,71.1,75.5,76.8,68.9,58.8,53,44.4
"0050021998",1998,5,28.2,29.5,33.7,41,54.4,59.4,69,66.2,62.5,47,37.6,26.5
"0050021999",1999,5,29.8,33.3,39.3,40.1,50.4,60.5,68.3,65.5,55.4,48,41.2,27.9
"0050022000",2000,5,29.1,34.3,36.6,46.4,56.1,63,69.8,69,59.4,47.4,27.2,25.7
"0050022001",2001,5,24.7,28.2,36,45.9,53.9,63.9,70.2,66.9,60.3,47.9,37.9,26.4
"0050022002",2002,5,25.4,27.1,32,47.3,53.4,67.1,71,66.8,58.4,43.2,33.7,27.6
"0050022003",2003,5,31.6,26.3,36.6,45.3,53.8,60.1,72.4,68.4,56.7,51.5,33,28.6
"0050022004",2004,5,26.2,26.3,41.8,44.4,54.8,60.8,65.9,63.2,57.7,46.8,33.8,28.4
"0050022005",2005,5,30.2,31.3,35.2,43.4,53.2,60.9,70,65,60.2,48.3,37.5,26
"0050022006",2006,5,29.9,28,34.9,47.1,55.6,65.7,69.6,65.6,53.5,44.9,36.5,26.8
"0050022007",2007,5,19.4,27.7,40.5,43.3,53.5,62.8,69.7,68.8,59.7,48.3,38,22.4
"0050022008",2008,5,20.9,27.6,33.9,40.9,51,61.6,69.2,65.7,57.3,47.6,38.3,25.3
"0050022009",2009,5,28.3,32.2,37.1,42,54.5,59.8,66.9,64.8,57.6,40.8,37.8,20.4
"0050022010",2010,5,26.1,24.6,35.2,43.6,50.1,64,68.6,66.5,61.2,49.2,33.6,31.1
"0050022011",2011,5,24,24.2,37.7,43,49.3,62.9,70,69.2,58.5,47.1,34.9,24.4
"0050022012",2012,5,29.4,27.4,41.9,48.2,55.4,67.9,70.6,67.7,59.5,46.5,39.4,25.9
"0050022013",2013,5,22.9,25.7,35,39.8,52.8,65.6,68.5,67,60.7,44.2,35.2,23.7
"0050022014",2014,5,26.4,27.6,36.3,43.3,52.4,62.5,68.4,64.6,60,49.9,33.4,27.9
"0050022015",2015,5,29.2,32.1,40.6,44.8,49.8,64.9,66.6,66.9,62.6,51.4,34.6,25.8
"0050022016",2016,5,25.6,32.4,37.9,43.7,50.8,66.4,69.2,64.5,59.7,51.8,40.2,25.2
"0050022017",2017,5,25.3,35.4,42.5,44.3,51.5,64.8,69.4,64.7,59.1,46.7,41.3,30.1
"0050022018",2018,5,29.7,28.6,37.8,44,57.2,66.5,70,66.2,61.9,45,32.5,26.6
"0050022019",2019,5,26,24.9,33.8,45.5,47.9,60.6,69.1,68.3,62.9,40.9,35.2,28.1
"0060021998",1998,6,33.1,35.2,39.3,48.6,61,65.2,71.2,71.6,64.2,51.8,41.3,36.6
"0060021999",1999,6,27.4,31.7,37.4,47.9,58.5,68.8,74.8,69.8,64.6,50.1,45.4,33.8
"0060022000",2000,6,24.6,31.3,41.9,46.1,57.9,66,67.8,67.9,61.2,51.1,40.5,26.1
"0060022001",2001,6,25.8,29.5,34.1,47.9,58.9,68.1,68.2,72.8,62.5,52.7,45.3,37.1
"0060022002",2002,6,33.3,34.1,38.6,50.1,55.1,65.5,72.8,71.9,64.8,49.6,40,29.8
"0060022003",2003,6,21.4,23.8,36,44.5,55,64.7,71.5,72.2,63.3,49.3,43.8,32.4
"0060022004",2004,6,18.7,28.5,38,48,59.9,65,70,69.6,63.8,50.9,41.9,30.8
"0060022005",2005,6,24.3,29.7,32.3,49.3,53.1,69.6,72.4,73,66,52.7,43,28.7
"0060022006",2006,6,33.7,29.5,36.7,49,57.2,67.1,74.1,69.8,61.2,51,46.3,38
"0060022007",2007,6,31.3,23.3,35.1,44.8,59.6,66.6,70.9,70.3,64.6,57.8,39.9,30.2
"0060022008",2008,6,29.7,29.8,36.5,49.6,55.1,68.6,73.3,67.8,63.3,50,40.5,32.2
"0060022009",2009,6,21,30.2,36.8,49.3,57.8,64,68.7,71.7,61,49.5,46,30.1
"0060022010",2010,6,27,29.8,43,52,60.9,68.9,75.1,71,65.6,52.8,41.9,28.2
"0060022011",2011,6,23.2,27.1,37,48.9,59.7,66.9,74.1,70.8,66.4,53.4,45.9,36.9
"0060022012",2012,6,31.7,35,45.8,49.7,61.6,66.4,74.1,72,63.3,54.7,39.4,35.9
"0060022013",2013,6,28.8,29.2,36,47.3,58.2,67.7,75.9,68.7,61.4,53.4,39.8,31
"0060022014",2014,6,23.6,25,30.6,46.7,58.3,66.8,71.9,68.4,63.6,54.1,39.7,35.4
"0060022015",2015,6,23.3,15.8,31,47,62.7,65.3,72.2,72,67.8,51.4,46.1,43.5
"0060022016",2016,6,29.7,32,43.2,46.8,58.4,67.4,74.1,73.9,66.2,53.5,43.5,32.6
"0060022017",2017,6,32.7,34.6,33.4,51.8,56.7,67,71.5,69.1,66,58.6,41,28.7
"0060022018",2018,6,25.4,35.7,36.4,43.4,62.2,66.4,74,74.3,66.1,52.3,39.1,33.8
"0060022019",2019,6,27,30.2,35,49.1,57.1,66.5,74.9,70.6,63.2,53.6,38.1,31.7
"0070021998",1998,7,41.6,41.3,45.7,55.2,64.8,71.3,76,75.2,71.2,57.5,47.1,42
"0070021999",1999,7,38.1,38.3,42.2,53.4,63,71.3,79.2,76.2,68.6,55.9,51.4,40.5
"0070022000",2000,7,33.3,39.2,48.7,52.4,64.7,73,72.8,73.1,66.2,57.6,44.6,31.3
"0070022001",2001,7,33.1,38.6,41.2,53.9,63.2,73.5,72.9,76.7,66.5,57.6,51.5,44.4
"0070022002",2002,7,40,40.9,46.4,57.1,62.7,73,78,78,70.1,57.9,45.8,36
"0070022003",2003,7,29.6,32.1,45.1,52,59,70,76.3,76.5,69.3,55.8,51.5,37.8
